miles_per_gallon,engine,volume,hp,pounds,torque,year,source,make,Price
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,2197
15,8,350,165,3693,11.5,70,1,buick skylark 320,2301
18,8,318,150,3436,11,70,1,plymouth satellite,2434
16,8,304,150,3433,12,70,1,amc rebel sst,1251
17,8,302,140,3449,10.5,70,1,ford torino,1792
15,8,429,198,4341,10,70,1,ford galaxie 500,1764
14,8,454,220,4354,9,70,1,chevrolet impala,1217
14,8,440,215,4312,8.5,70,1,plymouth fury iii,1561
14,8,455,225,4425,10,70,1,pontiac catalina,2144
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,1469
15,8,383,170,3563,10,70,1,dodge challenger se,1213
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,2447
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,1396
14,8,455,225,3086,10,70,1,buick estate wagon (sw),1797
24,4,113,95,2372,15,70,3,toyota corona mark ii,1516
22,6,198,95,2833,15.5,70,1,plymouth duster,2022
18,6,199,97,2774,15.5,70,1,amc hornet,2142
21,6,200,85,2587,16,70,1,ford maverick,1505
27,4,97,88,2130,14.5,70,3,datsun pl510,1481
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,2332
25,4,110,87,2672,17.5,70,2,peugeot 504,2462
24,4,107,90,2430,14.5,70,2,audi 100 ls,1462
25,4,104,95,2375,17.5,70,2,saab 99e,1986
26,4,121,113,2234,12.5,70,2,bmw 2002,1627
21,6,199,90,2648,15,70,1,amc gremlin,2437
10,8,360,215,4615,14,70,1,ford f250,1765
10,8,307,200,4376,15,70,1,chevy c20,1764
11,8,318,210,4382,13.5,70,1,dodge d200,2036
9,8,304,193,4732,18.5,70,1,hi 1200d,1269
27,4,97,88,2130,14.5,71,3,datsun pl510,1515
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,2215
25,4,113,95,2228,14,71,3,toyota corona,1827
25,4,98,?,2046,19,71,1,ford pinto,1460
19,6,232,100,2634,13,71,1,amc gremlin,2208
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,1539
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,1264
19,6,250,88,3302,15.5,71,1,ford torino 500,1305
18,6,232,100,3288,15.5,71,1,amc matador,1703
14,8,350,165,4209,12,71,1,chevrolet impala,1725
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,2162
14,8,351,153,4154,13.5,71,1,ford galaxie 500,1264
14,8,318,150,4096,13,71,1,plymouth fury iii,1713
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),2445
13,8,400,170,4746,12,71,1,ford country squire (sw),1629
13,8,400,175,5140,12,71,1,pontiac safari (sw),2462
18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw),1822
22,4,140,72,2408,19,71,1,chevrolet vega (sw),1545
19,6,250,100,3282,15,71,1,pontiac firebird,1955
18,6,250,88,3139,14.5,71,1,ford mustang,1739
23,4,122,86,2220,14,71,1,mercury capri 2000,2009
28,4,116,90,2123,14,71,2,opel 1900,2210
30,4,79,70,2074,19.5,71,2,peugeot 304,1622
30,4,88,76,2065,14.5,71,2,fiat 124b,2493
31,4,71,65,1773,19,71,3,toyota corolla 1200,2310
35,4,72,69,1613,18,71,3,datsun 1200,2335
27,4,97,60,1834,19,71,2,volkswagen model 111,1272
26,4,91,70,1955,20.5,71,1,plymouth cricket,1336
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,1511
25,4,98,80,2126,17,72,1,dodge colt hardtop,2076
23,4,97,54,2254,23.5,72,2,volkswagen type 3,1645
20,4,140,90,2408,19.5,72,1,chevrolet vega,1968
21,4,122,86,2226,16.5,72,1,ford pinto runabout,1650
13,8,350,165,4274,12,72,1,chevrolet impala,1885
14,8,400,175,4385,12,72,1,pontiac catalina,2319
15,8,318,150,4135,13.5,72,1,plymouth fury iii,1534
14,8,351,153,4129,13,72,1,ford galaxie 500,1943
17,8,304,150,3672,11.5,72,1,amc ambassador sst,1102
11,8,429,208,4633,11,72,1,mercury marquis,1640
13,8,350,155,4502,13.5,72,1,buick lesabre custom,1925
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,1989
13,8,400,190,4422,12.5,72,1,chrysler newport royal,1329
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,2023
15,8,304,150,3892,12.5,72,1,amc matador (sw),1127
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),2084
13,8,302,140,4294,16,72,1,ford gran torino (sw),1575
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),2350
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),1469
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),1441
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),1172
26,4,96,69,2189,18,72,2,renault 12 (sw),2315
22,4,122,86,2395,16,72,1,ford pinto (sw),2317
28,4,97,92,2288,17,72,3,datsun 510 (sw),2343
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),2232
28,4,98,80,2164,15,72,1,dodge colt (sw),2170
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),1776
13,8,350,175,4100,13,73,1,buick century 350,1781
14,8,304,150,3672,11.5,73,1,amc matador,1398
13,8,350,145,3988,13,73,1,chevrolet malibu,2140
14,8,302,137,4042,14.5,73,1,ford gran torino,2376
15,8,318,150,3777,12.5,73,1,dodge coronet custom,1422
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,2139
13,8,400,150,4464,12,73,1,chevrolet caprice classic,1904
13,8,351,158,4363,13,73,1,ford ltd,2293
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,1390
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,1255
12,8,455,225,4951,11,73,1,buick electra 225 custom,1575
13,8,360,175,3821,11,73,1,amc ambassador brougham,1524
18,6,225,105,3121,16.5,73,1,plymouth valiant,1218
16,6,250,100,3278,18,73,1,chevrolet nova custom,1118
18,6,232,100,2945,16,73,1,amc hornet,2046
18,6,250,88,3021,16.5,73,1,ford maverick,1840
23,6,198,95,2904,16,73,1,plymouth duster,1450
26,4,97,46,1950,21,73,2,volkswagen super beetle,1787
11,8,400,150,4997,14,73,1,chevrolet impala,1835
12,8,400,167,4906,12.5,73,1,ford country,1663
13,8,360,170,4654,13,73,1,plymouth custom suburb,1950
12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser,1566
18,6,232,100,2789,15,73,1,amc gremlin,1161
20,4,97,88,2279,19,73,3,toyota carina,1631
21,4,140,72,2401,19.5,73,1,chevrolet vega,2107
22,4,108,94,2379,16.5,73,3,datsun 610,1986
18,3,70,90,2124,13.5,73,3,maxda rx3,2007
19,4,122,85,2310,18.5,73,1,ford pinto,1942
21,6,155,107,2472,14,73,1,mercury capri v6,1421
26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe,2216
15,8,350,145,4082,13,73,1,chevrolet monte carlo s,2246
16,8,400,230,4278,9.5,73,1,pontiac grand prix,1135
29,4,68,49,1867,19.5,73,2,fiat 128,2207
24,4,116,75,2158,15.5,73,2,opel manta,2491
20,4,114,91,2582,14,73,2,audi 100ls,1529
19,4,121,112,2868,15.5,73,2,volvo 144ea,1143
15,8,318,150,3399,11,73,1,dodge dart custom,2417
24,4,121,110,2660,14,73,2,saab 99le,1858
20,6,156,122,2807,13.5,73,3,toyota mark ii,1826
11,8,350,180,3664,11,73,1,oldsmobile omega,2352
20,6,198,95,3102,16.5,74,1,plymouth duster,1108
21,6,200,?,2875,17,74,1,ford maverick,2179
19,6,232,100,2901,16,74,1,amc hornet,2030
15,6,250,100,3336,17,74,1,chevrolet nova,2300
31,4,79,67,1950,19,74,3,datsun b210,2186
26,4,122,80,2451,16.5,74,1,ford pinto,2190
32,4,71,65,1836,21,74,3,toyota corolla 1200,2236
25,4,140,75,2542,17,74,1,chevrolet vega,2043
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic,1771
16,6,258,110,3632,18,74,1,amc matador,1690
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring,1494
16,8,302,140,4141,14,74,1,ford gran torino,1990
13,8,350,150,4699,14.5,74,1,buick century luxus (sw),1306
14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw),2300
14,8,302,140,4638,16,74,1,ford gran torino (sw),1923
14,8,304,150,4257,15.5,74,1,amc matador (sw),1395
29,4,98,83,2219,16.5,74,2,audi fox,2175
26,4,79,67,1963,15.5,74,2,volkswagen dasher,1461
26,4,97,78,2300,14.5,74,2,opel manta,1397
31,4,76,52,1649,16.5,74,3,toyota corona,1214
32,4,83,61,2003,19,74,3,datsun 710,2092
28,4,90,75,2125,14.5,74,1,dodge colt,1910
24,4,90,75,2108,15.5,74,2,fiat 128,1119
26,4,116,75,2246,14,74,2,fiat 124 tc,2061
24,4,120,97,2489,15,74,3,honda civic,1991
26,4,108,93,2391,15.5,74,3,subaru,2483
31,4,79,67,2000,16,74,2,fiat x1.9,1407
19,6,225,95,3264,16,75,1,plymouth valiant custom,1226
18,6,250,105,3459,16,75,1,chevrolet nova,2417
15,6,250,72,3432,21,75,1,mercury monarch,1263
15,6,250,72,3158,19.5,75,1,ford maverick,2117
16,8,400,170,4668,11.5,75,1,pontiac catalina,1978
15,8,350,145,4440,14,75,1,chevrolet bel air,1240
16,8,318,150,4498,14.5,75,1,plymouth grand fury,1771
14,8,351,148,4657,13.5,75,1,ford ltd,2278
17,6,231,110,3907,21,75,1,buick century,1166
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu,2460
15,6,258,110,3730,19,75,1,amc matador,1616
18,6,225,95,3785,19,75,1,plymouth fury,2189
21,6,231,110,3039,15,75,1,buick skyhawk,1568
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2,1516
13,8,302,129,3169,12,75,1,ford mustang ii,2483
29,4,97,75,2171,16,75,3,toyota corolla,1643
23,4,140,83,2639,17,75,1,ford pinto,1359
20,6,232,100,2914,16,75,1,amc gremlin,1473
23,4,140,78,2592,18.5,75,1,pontiac astro,1940
24,4,134,96,2702,13.5,75,3,toyota corona,1681
25,4,90,71,2223,16.5,75,2,volkswagen dasher,1503
24,4,119,97,2545,17,75,3,datsun 710,2355
18,6,171,97,2984,14.5,75,1,ford pinto,1643
29,4,90,70,1937,14,75,2,volkswagen rabbit,1850
19,6,232,90,3211,17,75,1,amc pacer,2037
23,4,115,95,2694,15,75,2,audi 100ls,1894
23,4,120,88,2957,17,75,2,peugeot 504,2248
22,4,121,98,2945,14.5,75,2,volvo 244dl,2428
25,4,121,115,2671,13.5,75,2,saab 99le,2032
33,4,91,53,1795,17.5,75,3,honda civic cvcc,1369
28,4,107,86,2464,15.5,76,2,fiat 131,1109
25,4,116,81,2220,16.9,76,2,opel 1900,1520
25,4,140,92,2572,14.9,76,1,capri ii,2146
26,4,98,79,2255,17.7,76,1,dodge colt,2160
27,4,101,83,2202,15.3,76,2,renault 12tl,2270
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic,2171
16,8,318,150,4190,13,76,1,dodge coronet brougham,2173
15.5,8,304,120,3962,13.9,76,1,amc matador,2024
14.5,8,351,152,4215,12.8,76,1,ford gran torino,1265
22,6,225,100,3233,15.4,76,1,plymouth valiant,2414
22,6,250,105,3353,14.5,76,1,chevrolet nova,1960
24,6,200,81,3012,17.6,76,1,ford maverick,2318
22.5,6,232,90,3085,17.6,76,1,amc hornet,1595
29,4,85,52,2035,22.2,76,1,chevrolet chevette,1972
24.5,4,98,60,2164,22.1,76,1,chevrolet woody,2059
29,4,90,70,1937,14.2,76,2,vw rabbit,1928
