,miles_per_gallon,engine,volume,hp,pounds,torque,source,make,price,year,price_to_weight_ratio,horsepower_category,car_age
0,18.0,8.0,307.0,130.0,3504.0,12.0,1.0,chevrolet chevelle malibu,2197.0,70.0,0.6269977168949772,Medium,70
1,15.0,8.0,350.0,165.0,3693.0,11.5,1.0,buick skylark 320,2301.0,70.0,0.6230706742485784,Medium,70
2,18.0,8.0,318.0,150.0,3436.0,11.0,1.0,plymouth satellite,2434.0,70.0,0.7083818393480792,Medium,70
3,16.0,8.0,304.0,150.0,3433.0,12.0,1.0,amc rebel sst,1251.0,70.0,0.36440431109816485,Medium,70
4,17.0,8.0,302.0,140.0,3449.0,10.5,1.0,ford torino,1792.0,70.0,0.5195708901130762,Medium,70
5,15.0,8.0,429.0,198.0,4341.0,10.0,1.0,ford galaxie 500,1764.0,70.0,0.4063579820317899,High,70
6,14.0,8.0,454.0,220.0,4354.0,9.0,1.0,chevrolet impala,1217.0,70.0,0.27951309141019753,High,70
7,14.0,8.0,440.0,215.0,4312.0,8.5,1.0,plymouth fury iii,1561.0,70.0,0.362012987012987,High,70
8,14.0,8.0,455.0,225.0,4425.0,10.0,1.0,pontiac catalina,2144.0,70.0,0.4845197740112994,High,70
9,15.0,8.0,390.0,190.0,3850.0,8.5,1.0,amc ambassador dpl,1469.0,70.0,0.38155844155844154,High,70
10,15.0,8.0,383.0,170.0,3563.0,10.0,1.0,dodge challenger se,1213.0,70.0,0.3404434465338198,High,70
11,14.0,8.0,340.0,160.0,3609.0,8.0,1.0,plymouth 'cuda 340,2447.0,70.0,0.6780271543363813,Medium,70
12,15.0,8.0,400.0,150.0,3761.0,9.5,1.0,chevrolet monte carlo,1396.0,70.0,0.37117787822387666,Medium,70
13,14.0,8.0,455.0,225.0,3086.0,10.0,1.0,buick estate wagon (sw),1797.0,70.0,0.5823071937783538,High,70
14,24.0,4.0,113.0,95.0,2372.0,15.0,3.0,toyota corona mark ii,1516.0,70.0,0.6391231028667791,Low,70
15,22.0,6.0,198.0,95.0,2833.0,15.5,1.0,plymouth duster,2022.0,70.0,0.7137310271796682,Low,70
16,18.0,6.0,199.0,97.0,2774.0,15.5,1.0,amc hornet,2142.0,70.0,0.772170151405912,Low,70
17,21.0,6.0,200.0,85.0,2587.0,16.0,1.0,ford maverick,1505.0,70.0,0.5817549284885968,Low,70
18,27.0,4.0,97.0,88.0,2130.0,14.5,3.0,datsun pl510,1481.0,70.0,0.6953051643192488,Low,70
19,26.0,4.0,97.0,46.0,1835.0,20.5,2.0,volkswagen 1131 deluxe sedan,2332.0,70.0,1.2708446866485013,Low,70
20,25.0,4.0,110.0,87.0,2672.0,17.5,2.0,peugeot 504,2462.0,70.0,0.9214071856287425,Low,70
21,24.0,4.0,107.0,90.0,2430.0,14.5,2.0,audi 100 ls,1462.0,70.0,0.6016460905349794,Low,70
22,25.0,4.0,104.0,95.0,2375.0,17.5,2.0,saab 99e,1986.0,70.0,0.8362105263157895,Low,70
23,26.0,4.0,121.0,113.0,2234.0,12.5,2.0,bmw 2002,1627.0,70.0,0.7282900626678603,Medium,70
24,21.0,6.0,199.0,90.0,2648.0,15.0,1.0,amc gremlin,2437.0,70.0,0.9203172205438066,Low,70
25,10.0,8.0,360.0,215.0,4615.0,14.0,1.0,ford f250,1765.0,70.0,0.38244853737811485,High,70
26,10.0,8.0,307.0,200.0,4376.0,15.0,1.0,chevy c20,1764.0,70.0,0.4031078610603291,High,70
27,11.0,8.0,318.0,210.0,4382.0,13.5,1.0,dodge d200,2036.0,70.0,0.464628023733455,High,70
28,9.0,8.0,304.0,193.0,4732.0,18.5,1.0,hi 1200d,1269.0,70.0,0.2681741335587489,High,70
29,27.0,4.0,97.0,88.0,2130.0,14.5,3.0,datsun pl510,1515.0,71.0,0.7112676056338029,Low,71
30,28.0,4.0,140.0,90.0,2264.0,15.5,1.0,chevrolet vega 2300,2215.0,71.0,0.9783568904593639,Low,71
31,25.0,4.0,113.0,95.0,2228.0,14.0,3.0,toyota corona,1827.0,71.0,0.8200179533213644,Low,71
32,25.0,4.0,98.0,115.88383838383838,2046.0,19.0,1.0,ford pinto,1460.0,71.0,0.7135874877810362,Medium,71
33,19.0,6.0,232.0,100.0,2634.0,13.0,1.0,amc gremlin,2208.0,71.0,0.8382687927107062,Low,71
34,16.0,6.0,225.0,105.0,3439.0,15.5,1.0,plymouth satellite custom,1539.0,71.0,0.44751381215469616,Low,71
35,17.0,6.0,250.0,100.0,3329.0,15.5,1.0,chevrolet chevelle malibu,1264.0,71.0,0.37969360168218685,Low,71
36,19.0,6.0,250.0,88.0,3302.0,15.5,1.0,ford torino 500,1305.0,71.0,0.39521502119927315,Low,71
37,18.0,6.0,232.0,100.0,3288.0,15.5,1.0,amc matador,1703.0,71.0,0.5179440389294404,Low,71
38,14.0,8.0,350.0,165.0,4209.0,12.0,1.0,chevrolet impala,1725.0,71.0,0.4098360655737705,Medium,71
39,14.0,8.0,400.0,175.0,4464.0,11.5,1.0,pontiac catalina brougham,2162.0,71.0,0.4843189964157706,High,71
40,14.0,8.0,351.0,153.0,4154.0,13.5,1.0,ford galaxie 500,1264.0,71.0,0.3042850264805007,Medium,71
41,14.0,8.0,318.0,150.0,4096.0,13.0,1.0,plymouth fury iii,1713.0,71.0,0.418212890625,Medium,71
42,12.0,8.0,383.0,180.0,4955.0,11.5,1.0,dodge monaco (sw),2445.0,71.0,0.4934409687184662,High,71
43,13.0,8.0,400.0,170.0,4746.0,12.0,1.0,ford country squire (sw),1629.0,71.0,0.34323640960809104,High,71
44,13.0,8.0,400.0,175.0,5140.0,12.0,1.0,pontiac safari (sw),2462.0,71.0,0.47898832684824905,High,71
45,18.0,6.0,258.0,110.0,2962.0,13.5,1.0,amc hornet sportabout (sw),1822.0,71.0,0.6151249155975692,Medium,71
46,22.0,4.0,140.0,72.0,2408.0,19.0,1.0,chevrolet vega (sw),1545.0,71.0,0.6416112956810631,Low,71
47,19.0,6.0,250.0,100.0,3282.0,15.0,1.0,pontiac firebird,1955.0,71.0,0.5956733698964046,Low,71
48,18.0,6.0,250.0,88.0,3139.0,14.5,1.0,ford mustang,1739.0,71.0,0.5539980885632367,Low,71
49,23.0,4.0,122.0,86.0,2220.0,14.0,1.0,mercury capri 2000,2009.0,71.0,0.9049549549549549,Low,71
50,28.0,4.0,116.0,90.0,2123.0,14.0,2.0,opel 1900,2210.0,71.0,1.0409797456429581,Low,71
51,30.0,4.0,79.0,70.0,2074.0,19.5,2.0,peugeot 304,1622.0,71.0,0.7820636451301832,Low,71
52,30.0,4.0,88.0,76.0,2065.0,14.5,2.0,fiat 124b,2493.0,71.0,1.2072639225181598,Low,71
53,31.0,4.0,71.0,65.0,1773.0,19.0,3.0,toyota corolla 1200,2310.0,71.0,1.3028764805414552,Low,71
54,35.0,4.0,72.0,69.0,1613.0,18.0,3.0,datsun 1200,2335.0,71.0,1.4476131432114072,Low,71
55,27.0,4.0,97.0,60.0,1834.0,19.0,2.0,volkswagen model 111,1272.0,71.0,0.693565976008724,Low,71
56,26.0,4.0,91.0,70.0,1955.0,20.5,1.0,plymouth cricket,1336.0,71.0,0.6833759590792838,Low,71
57,24.0,4.0,113.0,95.0,2278.0,15.5,3.0,toyota corona hardtop,1511.0,72.0,0.6633011413520632,Low,72
58,25.0,4.0,98.0,80.0,2126.0,17.0,1.0,dodge colt hardtop,2076.0,72.0,0.9764816556914393,Low,72
59,23.0,4.0,97.0,54.0,2254.0,23.5,2.0,volkswagen type 3,1645.0,72.0,0.7298136645962733,Low,72
60,20.0,4.0,140.0,90.0,2408.0,19.5,1.0,chevrolet vega,1968.0,72.0,0.8172757475083057,Low,72
61,21.0,4.0,122.0,86.0,2226.0,16.5,1.0,ford pinto runabout,1650.0,72.0,0.7412398921832885,Low,72
62,13.0,8.0,350.0,165.0,4274.0,12.0,1.0,chevrolet impala,1885.0,72.0,0.44103883949461864,Medium,72
63,14.0,8.0,400.0,175.0,4385.0,12.0,1.0,pontiac catalina,2319.0,72.0,0.52884834663626,High,72
64,15.0,8.0,318.0,150.0,4135.0,13.5,1.0,plymouth fury iii,1534.0,72.0,0.37097944377267233,Medium,72
65,14.0,8.0,351.0,153.0,4129.0,13.0,1.0,ford galaxie 500,1943.0,72.0,0.470573988859288,Medium,72
66,17.0,8.0,304.0,150.0,3672.0,11.5,1.0,amc ambassador sst,1102.0,72.0,0.30010893246187365,Medium,72
67,11.0,8.0,429.0,208.0,4633.0,11.0,1.0,mercury marquis,1640.0,72.0,0.35398230088495575,High,72
68,13.0,8.0,350.0,155.0,4502.0,13.5,1.0,buick lesabre custom,1925.0,72.0,0.42758773878276324,Medium,72
69,12.0,8.0,350.0,160.0,4456.0,13.5,1.0,oldsmobile delta 88 royale,1989.0,72.0,0.4463644524236984,Medium,72
70,13.0,8.0,400.0,190.0,4422.0,12.5,1.0,chrysler newport royal,1329.0,72.0,0.3005427408412483,High,72
71,19.0,3.0,70.0,97.0,2330.0,13.5,3.0,mazda rx2 coupe,2023.0,72.0,0.8682403433476394,Low,72
72,15.0,8.0,304.0,150.0,3892.0,12.5,1.0,amc matador (sw),1127.0,72.0,0.289568345323741,Medium,72
73,13.0,8.0,307.0,130.0,4098.0,14.0,1.0,chevrolet chevelle concours (sw),2084.0,72.0,0.5085407515861395,Medium,72
74,13.0,8.0,302.0,140.0,4294.0,16.0,1.0,ford gran torino (sw),1575.0,72.0,0.36679087098276664,Medium,72
75,14.0,8.0,318.0,150.0,4077.0,14.0,1.0,plymouth satellite custom (sw),2350.0,72.0,0.5764042187883247,Medium,72
76,18.0,4.0,121.0,112.0,2933.0,14.5,2.0,volvo 145e (sw),1469.0,72.0,0.5008523695874532,Medium,72
77,22.0,4.0,121.0,76.0,2511.0,18.0,2.0,volkswagen 411 (sw),1441.0,72.0,0.5738749502190362,Low,72
78,21.0,4.0,120.0,87.0,2979.0,19.5,2.0,peugeot 504 (sw),1172.0,72.0,0.3934206109432696,Low,72
79,26.0,4.0,96.0,69.0,2189.0,18.0,2.0,renault 12 (sw),2315.0,72.0,1.057560529922339,Low,72
80,22.0,4.0,122.0,86.0,2395.0,16.0,1.0,ford pinto (sw),2317.0,72.0,0.9674321503131524,Low,72
81,28.0,4.0,97.0,92.0,2288.0,17.0,3.0,datsun 510 (sw),2343.0,72.0,1.0240384615384615,Low,72
82,23.0,4.0,120.0,97.0,2506.0,14.5,3.0,toyouta corona mark ii (sw),2232.0,72.0,0.8906624102154829,Low,72
83,28.0,4.0,98.0,80.0,2164.0,15.0,1.0,dodge colt (sw),2170.0,72.0,1.0027726432532347,Low,72
84,27.0,4.0,97.0,88.0,2100.0,16.5,3.0,toyota corolla 1600 (sw),1776.0,72.0,0.8457142857142858,Low,72
85,13.0,8.0,350.0,175.0,4100.0,13.0,1.0,buick century 350,1781.0,73.0,0.434390243902439,High,73
86,14.0,8.0,304.0,150.0,3672.0,11.5,1.0,amc matador,1398.0,73.0,0.380718954248366,Medium,73
87,13.0,8.0,350.0,145.0,3988.0,13.0,1.0,chevrolet malibu,2140.0,73.0,0.5366098294884654,Medium,73
88,14.0,8.0,302.0,137.0,4042.0,14.5,1.0,ford gran torino,2376.0,73.0,0.5878278080158338,Medium,73
89,15.0,8.0,318.0,150.0,3777.0,12.5,1.0,dodge coronet custom,1422.0,73.0,0.3764892772041303,Medium,73
90,12.0,8.0,429.0,198.0,4952.0,11.5,1.0,mercury marquis brougham,2139.0,73.0,0.4319466882067851,High,73
91,13.0,8.0,400.0,150.0,4464.0,12.0,1.0,chevrolet caprice classic,1904.0,73.0,0.4265232974910394,Medium,73
92,13.0,8.0,351.0,158.0,4363.0,13.0,1.0,ford ltd,2293.0,73.0,0.5255558102223241,Medium,73
93,14.0,8.0,318.0,150.0,4237.0,14.5,1.0,plymouth fury gran sedan,1390.0,73.0,0.3280623082369601,Medium,73
94,13.0,8.0,440.0,215.0,4735.0,11.0,1.0,chrysler new yorker brougham,1255.0,73.0,0.26504751847940866,High,73
95,12.0,8.0,455.0,225.0,4951.0,11.0,1.0,buick electra 225 custom,1575.0,73.0,0.318117552009695,High,73
96,13.0,8.0,360.0,175.0,3821.0,11.0,1.0,amc ambassador brougham,1524.0,73.0,0.39884846898717613,High,73
97,18.0,6.0,225.0,105.0,3121.0,16.5,1.0,plymouth valiant,1218.0,73.0,0.39025953220121756,Low,73
98,16.0,6.0,250.0,100.0,3278.0,18.0,1.0,chevrolet nova custom,1118.0,73.0,0.3410616229408176,Low,73
99,18.0,6.0,232.0,100.0,2945.0,16.0,1.0,amc hornet,2046.0,73.0,0.6947368421052632,Low,73
100,18.0,6.0,250.0,88.0,3021.0,16.5,1.0,ford maverick,1840.0,73.0,0.6090698444223767,Low,73
101,23.0,6.0,198.0,95.0,2904.0,16.0,1.0,plymouth duster,1450.0,73.0,0.49931129476584024,Low,73
102,26.0,4.0,97.0,46.0,1950.0,21.0,2.0,volkswagen super beetle,1787.0,73.0,0.9164102564102564,Low,73
103,11.0,8.0,400.0,150.0,4997.0,14.0,1.0,chevrolet impala,1835.0,73.0,0.3672203321993196,Medium,73
104,12.0,8.0,400.0,167.0,4906.0,12.5,1.0,ford country,1663.0,73.0,0.3389726865063188,Medium,73
105,13.0,8.0,360.0,170.0,4654.0,13.0,1.0,plymouth custom suburb,1950.0,73.0,0.41899441340782123,High,73
106,12.0,8.0,350.0,180.0,4499.0,12.5,1.0,oldsmobile vista cruiser,1566.0,73.0,0.3480773505223383,High,73
107,18.0,6.0,232.0,100.0,2789.0,15.0,1.0,amc gremlin,1161.0,73.0,0.4162782359268555,Low,73
108,20.0,4.0,97.0,88.0,2279.0,19.0,3.0,toyota carina,1631.0,73.0,0.7156647652479158,Low,73
109,21.0,4.0,140.0,72.0,2401.0,19.5,1.0,chevrolet vega,2107.0,73.0,0.8775510204081632,Low,73
110,22.0,4.0,108.0,94.0,2379.0,16.5,3.0,datsun 610,1986.0,73.0,0.8348045397225725,Low,73
111,18.0,3.0,70.0,90.0,2124.0,13.5,3.0,maxda rx3,2007.0,73.0,0.9449152542372882,Low,73
112,19.0,4.0,122.0,85.0,2310.0,18.5,1.0,ford pinto,1942.0,73.0,0.8406926406926407,Low,73
113,21.0,6.0,155.0,107.0,2472.0,14.0,1.0,mercury capri v6,1421.0,73.0,0.5748381877022654,Low,73
114,26.0,4.0,98.0,90.0,2265.0,15.5,2.0,fiat 124 sport coupe,2216.0,73.0,0.9783664459161148,Low,73
115,15.0,8.0,350.0,145.0,4082.0,13.0,1.0,chevrolet monte carlo s,2246.0,73.0,0.5502204801567859,Medium,73
116,16.0,8.0,400.0,230.0,4278.0,9.5,1.0,pontiac grand prix,1135.0,73.0,0.2653108929406265,High,73
117,29.0,4.0,68.0,49.0,1867.0,19.5,2.0,fiat 128,2207.0,73.0,1.1821103374397428,Low,73
118,24.0,4.0,116.0,75.0,2158.0,15.5,2.0,opel manta,2491.0,73.0,1.154309545875811,Low,73
119,20.0,4.0,114.0,91.0,2582.0,14.0,2.0,audi 100ls,1529.0,73.0,0.5921766072811774,Low,73
120,19.0,4.0,121.0,112.0,2868.0,15.5,2.0,volvo 144ea,1143.0,73.0,0.3985355648535565,Medium,73
121,15.0,8.0,318.0,150.0,3399.0,11.0,1.0,dodge dart custom,2417.0,73.0,0.7110914974992645,Medium,73
122,24.0,4.0,121.0,110.0,2660.0,14.0,2.0,saab 99le,1858.0,73.0,0.6984962406015037,Medium,73
123,20.0,6.0,156.0,122.0,2807.0,13.5,3.0,toyota mark ii,1826.0,73.0,0.6505165657285358,Medium,73
124,11.0,8.0,350.0,180.0,3664.0,11.0,1.0,oldsmobile omega,2352.0,73.0,0.6419213973799127,High,73
125,20.0,6.0,198.0,95.0,3102.0,16.5,1.0,plymouth duster,1108.0,74.0,0.35718891038039974,Low,74
126,21.0,6.0,200.0,115.88383838383838,2875.0,17.0,1.0,ford maverick,2179.0,74.0,0.7579130434782608,Medium,74
127,19.0,6.0,232.0,100.0,2901.0,16.0,1.0,amc hornet,2030.0,74.0,0.6997587038952086,Low,74
128,15.0,6.0,250.0,100.0,3336.0,17.0,1.0,chevrolet nova,2300.0,74.0,0.6894484412470024,Low,74
129,31.0,4.0,79.0,67.0,1950.0,19.0,3.0,datsun b210,2186.0,74.0,1.121025641025641,Low,74
130,26.0,4.0,122.0,80.0,2451.0,16.5,1.0,ford pinto,2190.0,74.0,0.8935128518971848,Low,74
131,32.0,4.0,71.0,65.0,1836.0,21.0,3.0,toyota corolla 1200,2236.0,74.0,1.2178649237472767,Low,74
132,25.0,4.0,140.0,75.0,2542.0,17.0,1.0,chevrolet vega,2043.0,74.0,0.8036978756884343,Low,74
133,16.0,6.0,250.0,100.0,3781.0,17.0,1.0,chevrolet chevelle malibu classic,1771.0,74.0,0.46839460460195714,Low,74
134,16.0,6.0,258.0,110.0,3632.0,18.0,1.0,amc matador,1690.0,74.0,0.46530837004405284,Medium,74
135,18.0,6.0,225.0,105.0,3613.0,16.5,1.0,plymouth satellite sebring,1494.0,74.0,0.41350678106836425,Low,74
136,16.0,8.0,302.0,140.0,4141.0,14.0,1.0,ford gran torino,1990.0,74.0,0.4805602511470659,Medium,74
137,13.0,8.0,350.0,150.0,4699.0,14.5,1.0,buick century luxus (sw),1306.0,74.0,0.27793147478186847,Medium,74
138,14.0,8.0,318.0,150.0,4457.0,13.5,1.0,dodge coronet custom (sw),2300.0,74.0,0.5160421808391294,Medium,74
139,14.0,8.0,302.0,140.0,4638.0,16.0,1.0,ford gran torino (sw),1923.0,74.0,0.41461836998706336,Medium,74
140,14.0,8.0,304.0,150.0,4257.0,15.5,1.0,amc matador (sw),1395.0,74.0,0.3276955602536998,Medium,74
141,29.0,4.0,98.0,83.0,2219.0,16.5,2.0,audi fox,2175.0,74.0,0.9801712483100495,Low,74
142,26.0,4.0,79.0,67.0,1963.0,15.5,2.0,volkswagen dasher,1461.0,74.0,0.7442689760570556,Low,74
143,26.0,4.0,97.0,78.0,2300.0,14.5,2.0,opel manta,1397.0,74.0,0.6073913043478261,Low,74
144,31.0,4.0,76.0,52.0,1649.0,16.5,3.0,toyota corona,1214.0,74.0,0.7362037598544573,Low,74
145,32.0,4.0,83.0,61.0,2003.0,19.0,3.0,datsun 710,2092.0,74.0,1.0444333499750373,Low,74
146,28.0,4.0,90.0,75.0,2125.0,14.5,1.0,dodge colt,1910.0,74.0,0.8988235294117647,Low,74
147,24.0,4.0,90.0,75.0,2108.0,15.5,2.0,fiat 128,1119.0,74.0,0.5308349146110057,Low,74
148,26.0,4.0,116.0,75.0,2246.0,14.0,2.0,fiat 124 tc,2061.0,74.0,0.9176313446126447,Low,74
149,24.0,4.0,120.0,97.0,2489.0,15.0,3.0,honda civic,1991.0,74.0,0.7999196464443552,Low,74
150,26.0,4.0,108.0,93.0,2391.0,15.5,3.0,subaru,2483.0,74.0,1.0384776244249267,Low,74
151,31.0,4.0,79.0,67.0,2000.0,16.0,2.0,fiat x1.9,1407.0,74.0,0.7035,Low,74
152,19.0,6.0,225.0,95.0,3264.0,16.0,1.0,plymouth valiant custom,1226.0,75.0,0.3756127450980392,Low,75
153,18.0,6.0,250.0,105.0,3459.0,16.0,1.0,chevrolet nova,2417.0,75.0,0.6987568661462851,Low,75
154,15.0,6.0,250.0,72.0,3432.0,21.0,1.0,mercury monarch,1263.0,75.0,0.368006993006993,Low,75
155,15.0,6.0,250.0,72.0,3158.0,19.5,1.0,ford maverick,2117.0,75.0,0.6703609879670678,Low,75
156,16.0,8.0,400.0,170.0,4668.0,11.5,1.0,pontiac catalina,1978.0,75.0,0.42373607540702657,High,75
157,15.0,8.0,350.0,145.0,4440.0,14.0,1.0,chevrolet bel air,1240.0,75.0,0.27927927927927926,Medium,75
158,16.0,8.0,318.0,150.0,4498.0,14.5,1.0,plymouth grand fury,1771.0,75.0,0.3937305469097377,Medium,75
159,14.0,8.0,351.0,148.0,4657.0,13.5,1.0,ford ltd,2278.0,75.0,0.4891561090831007,Medium,75
160,17.0,6.0,231.0,110.0,3907.0,21.0,1.0,buick century,1166.0,75.0,0.2984386997696442,Medium,75
161,16.0,6.0,250.0,105.0,3897.0,18.5,1.0,chevroelt chevelle malibu,2460.0,75.0,0.6312548113933796,Low,75
162,15.0,6.0,258.0,110.0,3730.0,19.0,1.0,amc matador,1616.0,75.0,0.43324396782841823,Medium,75
163,18.0,6.0,225.0,95.0,3785.0,19.0,1.0,plymouth fury,2189.0,75.0,0.5783355350066051,Low,75
164,21.0,6.0,231.0,110.0,3039.0,15.0,1.0,buick skyhawk,1568.0,75.0,0.5159591971043106,Medium,75
165,20.0,8.0,262.0,110.0,3221.0,13.5,1.0,chevrolet monza 2+2,1516.0,75.0,0.4706612853151195,Medium,75
166,13.0,8.0,302.0,129.0,3169.0,12.0,1.0,ford mustang ii,2483.0,75.0,0.7835279267907858,Medium,75
167,29.0,4.0,97.0,75.0,2171.0,16.0,3.0,toyota corolla,1643.0,75.0,0.7567941040994933,Low,75
168,23.0,4.0,140.0,83.0,2639.0,17.0,1.0,ford pinto,1359.0,75.0,0.5149677908298598,Low,75
169,20.0,6.0,232.0,100.0,2914.0,16.0,1.0,amc gremlin,1473.0,75.0,0.5054907343857241,Low,75
170,23.0,4.0,140.0,78.0,2592.0,18.5,1.0,pontiac astro,1940.0,75.0,0.7484567901234568,Low,75
171,24.0,4.0,134.0,96.0,2702.0,13.5,3.0,toyota corona,1681.0,75.0,0.6221317542561066,Low,75
172,25.0,4.0,90.0,71.0,2223.0,16.5,2.0,volkswagen dasher,1503.0,75.0,0.6761133603238867,Low,75
173,24.0,4.0,119.0,97.0,2545.0,17.0,3.0,datsun 710,2355.0,75.0,0.925343811394892,Low,75
174,18.0,6.0,171.0,97.0,2984.0,14.5,1.0,ford pinto,1643.0,75.0,0.550603217158177,Low,75
175,29.0,4.0,90.0,70.0,1937.0,14.0,2.0,volkswagen rabbit,1850.0,75.0,0.9550851832731028,Low,75
176,19.0,6.0,232.0,90.0,3211.0,17.0,1.0,amc pacer,2037.0,75.0,0.6343818125194643,Low,75
177,23.0,4.0,115.0,95.0,2694.0,15.0,2.0,audi 100ls,1894.0,75.0,0.7030438010393467,Low,75
178,23.0,4.0,120.0,88.0,2957.0,17.0,2.0,peugeot 504,2248.0,75.0,0.7602299628001352,Low,75
179,22.0,4.0,121.0,98.0,2945.0,14.5,2.0,volvo 244dl,2428.0,75.0,0.8244482173174873,Low,75
180,25.0,4.0,121.0,115.0,2671.0,13.5,2.0,saab 99le,2032.0,75.0,0.7607637588918008,Medium,75
181,33.0,4.0,91.0,53.0,1795.0,17.5,3.0,honda civic cvcc,1369.0,75.0,0.7626740947075209,Low,75
182,28.0,4.0,107.0,86.0,2464.0,15.5,2.0,fiat 131,1109.0,76.0,0.45008116883116883,Low,76
183,25.0,4.0,116.0,81.0,2220.0,16.9,2.0,opel 1900,1520.0,76.0,0.6846846846846847,Low,76
184,25.0,4.0,140.0,92.0,2572.0,14.9,1.0,capri ii,2146.0,76.0,0.8343701399688958,Low,76
185,26.0,4.0,98.0,79.0,2255.0,17.7,1.0,dodge colt,2160.0,76.0,0.9578713968957872,Low,76
186,27.0,4.0,101.0,83.0,2202.0,15.3,2.0,renault 12tl,2270.0,76.0,1.030881017257039,Low,76
187,17.5,8.0,305.0,140.0,4215.0,13.0,1.0,chevrolet chevelle malibu classic,2171.0,76.0,0.5150652431791222,Medium,76
188,16.0,8.0,318.0,150.0,4190.0,13.0,1.0,dodge coronet brougham,2173.0,76.0,0.5186157517899761,Medium,76
189,15.5,8.0,304.0,120.0,3962.0,13.9,1.0,amc matador,2024.0,76.0,0.5108531044926805,Medium,76
190,14.5,8.0,351.0,152.0,4215.0,12.8,1.0,ford gran torino,1265.0,76.0,0.3001186239620403,Medium,76
191,22.0,6.0,225.0,100.0,3233.0,15.4,1.0,plymouth valiant,2414.0,76.0,0.7466749149396845,Low,76
192,22.0,6.0,250.0,105.0,3353.0,14.5,1.0,chevrolet nova,1960.0,76.0,0.5845511482254697,Low,76
193,24.0,6.0,200.0,81.0,3012.0,17.6,1.0,ford maverick,2318.0,76.0,0.7695883134130146,Low,76
194,22.5,6.0,232.0,90.0,3085.0,17.6,1.0,amc hornet,1595.0,76.0,0.5170178282009724,Low,76
195,29.0,4.0,85.0,52.0,2035.0,22.2,1.0,chevrolet chevette,1972.0,76.0,0.9690417690417691,Low,76
196,24.5,4.0,98.0,60.0,2164.0,22.1,1.0,chevrolet woody,2059.0,76.0,0.9514787430683919,Low,76
197,29.0,4.0,90.0,70.0,1937.0,14.2,2.0,vw rabbit,1928.0,76.0,0.9953536396489416,Low,76
198,28.0,4.0,120.0,79.0,2625.0,18.6,1.0,ford ranger,2408.0,82.0,0.9173333333333333,Low,82
199,31.0,4.0,119.0,82.0,2720.0,19.4,1.0,chevy s-10,1512.0,82.0,0.5558823529411765,Low,82
